report_date,comparison_period,nrd_phase,spine,launch_date,metric,value_2019_baseline,value_current,pct_change
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,scheduled_km_million,1.4,2.0,42.9
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,scheduled_km_million,5.2,6.8,30.8
Jul-2024,Q4-2019 vs Q4-2023,Phase 3,N-Orbital,May-2022,scheduled_km_million,1.3,2.6,100.0
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,scheduled_km_million,2.9,3.8,31.0
Jul-2024,Q4-2019 vs Q4-2023,Phase 5a,W-Orbital,Jun-2023,scheduled_km_million,,1.3,
Jul-2024,Q4-2019 vs Q4-2023,Phase 5b,W+S-Orbital,Nov-2023,scheduled_km_million,3.3,5.0,51.5
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,pax_boardings_million,4.8,5.4,12.5
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,pax_boardings_million,16.7,18.9,13.2
Jul-2024,Q4-2019 vs Q4-2023,Phase 3,N-Orbital,May-2022,pax_boardings_million,2.4,5.4,125.0
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,pax_boardings_million,7.8,9.0,15.4
Jul-2024,Q4-2019 vs Q4-2023,Phase 5a,W-Orbital,Jun-2023,pax_boardings_million,,1.3,
Jul-2024,Q4-2019 vs Q4-2023,No NRD Phase,Non-BusConnects,,pax_boardings_million,114.0,114.7,0.6
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,punctuality_pct,63.9,69.7,9.1
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,punctuality_pct,56.8,68.6,20.8
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,punctuality_pct,64.3,64.9,0.9
Jul-2024,Q4-2019 vs Q4-2023,Phase 5a,W-Orbital,Jun-2023,punctuality_pct,59.0,74.6,26.4
Jul-2024,Q4-2019 vs Q4-2023,No NRD Phase,Non-BusConnects,,punctuality_pct,59.3,63.3,6.7
Jul-2024,Q4-2019 vs Q4-2023,Full Network,Full Network,,punctuality_pct,,65.1,
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,ewt_minutes,2.06,1.33,-35.4
Jul-2024,Q4-2019 vs Q4-2023,Phase 3,N-Orbital,May-2022,ewt_minutes,3.66,1.77,-51.6
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,ewt_minutes,2.35,1.29,-45.1
Jul-2024,Q4-2019 vs Q4-2023,No NRD Phase,Non-BusConnects,,ewt_minutes,2.39,2.35,-1.7
Jul-2024,Q4-2019 vs Q4-2023,Full Network,Full Network,,ewt_minutes,,2.16,
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,lost_km_pct,2.4,2.4,0.0
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,lost_km_pct,3.8,2.9,-23.7
Jul-2024,Q4-2019 vs Q4-2023,Phase 3,N-Orbital,May-2022,lost_km_pct,7.2,3.4,-52.8
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,lost_km_pct,4.1,2.4,-41.5
Jul-2024,Q4-2019 vs Q4-2023,Phase 5a,W-Orbital,Jun-2023,lost_km_pct,4.1,3.0,-26.8
Jul-2024,Q4-2019 vs Q4-2023,No NRD Phase,Non-BusConnects,,lost_km_pct,,3.6,
Jul-2024,Q4-2019 vs Q4-2023,Full Network,Full Network,,lost_km_pct,,3.4,
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,csat_net_satisfied_pct,,80.0,
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,csat_net_satisfied_pct_by_phase,,89.0,
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,csat_net_satisfied_pct_by_phase,,73.0,
Jul-2024,Q4-2019 vs Q4-2023,Phase 3,N-Orbital,May-2022,csat_net_satisfied_pct_by_phase,,84.0,
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,csat_net_satisfied_pct_by_phase,,76.0,
Mar-2025,Q2-2019 vs Q2-2024,Phase 1,H-Spine,Jun-2021,scheduled_km_million,1.4,2.0,42.9
Mar-2025,Q2-2019 vs Q2-2024,Phase 2,C-Spine,Nov-2021,scheduled_km_million,5.2,7.1,36.5
Mar-2025,Q2-2019 vs Q2-2024,Phase 3,N-Orbital,May-2022,scheduled_km_million,1.0,2.5,150.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 4,G-Spine,Oct-2022,scheduled_km_million,2.9,3.8,31.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 5a,W-Orbital,Jun-2023,scheduled_km_million,,1.3,
Mar-2025,Q2-2019 vs Q2-2024,Phase 5b,W+S-Orbital,Nov-2023,scheduled_km_million,2.6,5.6,115.4
Mar-2025,Q2-2019 vs Q2-2024,Phase 1,H-Spine,Jun-2021,pax_boardings_million,5.0,6.0,20.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 2,C-Spine,Nov-2021,pax_boardings_million,16.2,20.4,25.9
Mar-2025,Q2-2019 vs Q2-2024,Phase 3,N-Orbital,May-2022,pax_boardings_million,2.2,5.9,168.2
Mar-2025,Q2-2019 vs Q2-2024,Phase 4,G-Spine,Oct-2022,pax_boardings_million,8.0,10.1,26.2
Mar-2025,Q2-2019 vs Q2-2024,Phase 5a,W-Orbital,Jun-2023,pax_boardings_million,,1.8,
Mar-2025,Q2-2019 vs Q2-2024,Phase 5b,W+S-Orbital,Nov-2023,pax_boardings_million,6.5,11.9,83.1
Mar-2025,Q2-2019 vs Q2-2024,No NRD Phase,Non-BusConnects,,pax_boardings_million,113.0,121.6,7.6
Mar-2025,Q2-2019 vs Q2-2024,Phase 1,H-Spine,Jun-2021,punctuality_pct,67.0,69.0,3.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 2,C-Spine,Nov-2021,punctuality_pct,59.0,70.0,18.6
Mar-2025,Q2-2019 vs Q2-2024,Phase 4,G-Spine,Oct-2022,punctuality_pct,71.0,68.0,-4.2
Mar-2025,Q2-2019 vs Q2-2024,Phase 5a,W-Orbital,Jun-2023,punctuality_pct,56.0,75.0,33.9
Mar-2025,Q2-2019 vs Q2-2024,Phase 5b,W+S-Orbital,Nov-2023,punctuality_pct,62.0,67.0,8.1
Mar-2025,Q2-2019 vs Q2-2024,No NRD Phase,Non-BusConnects,,punctuality_pct,61.0,64.0,4.9
Mar-2025,Q2-2019 vs Q2-2024,Full Network,Full Network,,punctuality_pct,63.0,66.0,4.8
Mar-2025,Q2-2019 vs Q2-2024,Phase 2,C-Spine,Nov-2021,ewt_minutes,1.8,0.9,-50.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 3,N-Orbital,May-2022,ewt_minutes,2.8,1.3,-53.6
Mar-2025,Q2-2019 vs Q2-2024,Phase 4,G-Spine,Oct-2022,ewt_minutes,1.9,1.5,-21.1
Mar-2025,Q2-2019 vs Q2-2024,Phase 5b,W+S-Orbital,Nov-2023,ewt_minutes,2.0,1.7,-15.0
Mar-2025,Q2-2019 vs Q2-2024,No NRD Phase,Non-BusConnects,,ewt_minutes,1.0,1.1,10.0
Mar-2025,Q2-2019 vs Q2-2024,Full Network,Full Network,,ewt_minutes,1.1,1.5,36.4
Mar-2025,Q2-2019 vs Q2-2024,Phase 1,H-Spine,Jun-2021,lost_km_pct,4.9,2.4,-51.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 2,C-Spine,Nov-2021,lost_km_pct,4.2,2.3,-45.2
Mar-2025,Q2-2019 vs Q2-2024,Phase 3,N-Orbital,May-2022,lost_km_pct,6.0,1.1,-81.7
Mar-2025,Q2-2019 vs Q2-2024,Phase 4,G-Spine,Oct-2022,lost_km_pct,4.7,1.6,-66.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 5a,W-Orbital,Jun-2023,lost_km_pct,6.5,2.2,-66.2
Mar-2025,Q2-2019 vs Q2-2024,Phase 5b,W+S-Orbital,Nov-2023,lost_km_pct,5.1,1.7,-66.7
Mar-2025,Q2-2019 vs Q2-2024,No NRD Phase,Non-BusConnects,,lost_km_pct,5.0,2.7,-46.0
Mar-2025,Q2-2019 vs Q2-2024,Full Network,Full Network,,lost_km_pct,,2.4,
Dec-2025,Q3-2019 vs Q3-2025,Phase 1,H-Spine,Jun-2021,scheduled_km_million,1.4,2.0,42.9
Dec-2025,Q3-2019 vs Q3-2025,Phase 2,C-Spine,Nov-2021,scheduled_km_million,5.2,7.1,36.5
Dec-2025,Q3-2019 vs Q3-2025,Phase 3,N-Orbital,May-2022,scheduled_km_million,1.0,2.5,150.0
Dec-2025,Q3-2019 vs Q3-2025,Phase 4,G-Spine,Oct-2022,scheduled_km_million,2.9,3.8,31.0
Dec-2025,Q3-2019 vs Q3-2025,Phase 5a,W-Orbital,Jun-2023,scheduled_km_million,,1.3,
Dec-2025,Q3-2019 vs Q3-2025,Phase 5b,W+S-Orbital,Nov-2023,scheduled_km_million,2.6,5.6,115.4
Dec-2025,Q3-2019 vs Q3-2025,Phase 6a,E-Spine,Jan-2025,scheduled_km_million,6.2,9.0,45.2
Dec-2025,Q3-2019 vs Q3-2025,Phase 1,H-Spine,Jun-2021,pax_boardings_million,5.5,6.3,14.5
Dec-2025,Q3-2019 vs Q3-2025,Phase 2,C-Spine,Nov-2021,pax_boardings_million,16.5,20.8,26.1
Dec-2025,Q3-2019 vs Q3-2025,Phase 3,N-Orbital,May-2022,pax_boardings_million,2.4,6.0,150.0
Dec-2025,Q3-2019 vs Q3-2025,Phase 4,G-Spine,Oct-2022,pax_boardings_million,8.2,10.6,29.3
Dec-2025,Q3-2019 vs Q3-2025,Phase 5a,W-Orbital,Jun-2023,pax_boardings_million,1.3,,
Dec-2025,Q3-2019 vs Q3-2025,Phase 5b,W+S-Orbital,Nov-2023,pax_boardings_million,7.0,13.0,85.7
Dec-2025,Q3-2019 vs Q3-2025,Phase 6a,E-Spine,Jan-2025,pax_boardings_million,27.0,28.8,6.7
Dec-2025,Q3-2019 vs Q3-2025,No NRD Phase,Non-BusConnects,,pax_boardings_million,87.6,92.9,6.1
Dec-2025,Q3-2019 vs Q3-2025,Phase 1,H-Spine,Jun-2021,punctuality_pct,66.0,76.0,15.2
Dec-2025,Q3-2019 vs Q3-2025,Phase 2,C-Spine,Nov-2021,punctuality_pct,64.0,79.0,23.4
Dec-2025,Q3-2019 vs Q3-2025,Phase 3,N-Orbital,May-2022,punctuality_pct,65.0,78.0,20.0
Dec-2025,Q3-2019 vs Q3-2025,Phase 4,G-Spine,Oct-2022,punctuality_pct,68.0,77.0,13.2
Dec-2025,Q3-2019 vs Q3-2025,Phase 5a,W-Orbital,Jun-2023,punctuality_pct,58.0,66.0,13.8
Dec-2025,Q3-2019 vs Q3-2025,Phase 5b,W+S-Orbital,Nov-2023,punctuality_pct,62.0,74.0,19.4
Dec-2025,Q3-2019 vs Q3-2025,Phase 6a,E-Spine,Jan-2025,punctuality_pct,63.0,72.0,14.3
Dec-2025,Q3-2019 vs Q3-2025,No NRD Phase,Non-BusConnects,,punctuality_pct,63.0,73.0,15.9
Dec-2025,Q3-2019 vs Q3-2025,Full Network,Full Network,,punctuality_pct,,73.0,
Dec-2025,Q3-2019 vs Q3-2025,Phase 2,C-Spine,Nov-2021,ewt_minutes,2.3,1.1,-52.2
Dec-2025,Q3-2019 vs Q3-2025,Phase 3,N-Orbital,May-2022,ewt_minutes,3.5,1.4,-60.0
Dec-2025,Q3-2019 vs Q3-2025,Phase 4,G-Spine,Oct-2022,ewt_minutes,2.3,1.2,-47.8
Dec-2025,Q3-2019 vs Q3-2025,Phase 5b,W+S-Orbital,Nov-2023,ewt_minutes,2.5,1.7,-32.0
Dec-2025,Q3-2019 vs Q3-2025,Phase 6a,E-Spine,Jan-2025,ewt_minutes,2.3,2.0,-13.0
Dec-2025,Q3-2019 vs Q3-2025,No NRD Phase,Non-BusConnects,,ewt_minutes,2.5,1.7,-32.0
Dec-2025,Q3-2019 vs Q3-2025,Full Network,Full Network,,ewt_minutes,2.5,1.6,-36.0
Dec-2025,Q3-2019 vs Q3-2025,Phase 1,H-Spine,Jun-2021,lost_km_pct,3.0,2.1,-30.0
Dec-2025,Q3-2019 vs Q3-2025,Phase 2,C-Spine,Nov-2021,lost_km_pct,4.1,3.3,-19.5
Dec-2025,Q3-2019 vs Q3-2025,Phase 3,N-Orbital,May-2022,lost_km_pct,1.9,2.6,36.8
Dec-2025,Q3-2019 vs Q3-2025,Phase 4,G-Spine,Oct-2022,lost_km_pct,7.7,2.0,-74.0
Dec-2025,Q3-2019 vs Q3-2025,Phase 5a,W-Orbital,Jun-2023,lost_km_pct,2.3,6.1,165.2
Dec-2025,Q3-2019 vs Q3-2025,Phase 5b,W+S-Orbital,Nov-2023,lost_km_pct,4.9,3.8,-22.4
Dec-2025,Q3-2019 vs Q3-2025,Phase 6a,E-Spine,Jan-2025,lost_km_pct,5.0,4.1,-18.0
Dec-2025,Q3-2019 vs Q3-2025,No NRD Phase,Non-BusConnects,,lost_km_pct,4.7,3.4,-27.7
Dec-2025,Q3-2019 vs Q3-2025,Full Network,Full Network,,lost_km_pct,,3.3,
Dec-2025,Q3-2019 vs Q3-2025,Phase 5a,W-Orbital,Jun-2023,csat_net_satisfied_pct_by_phase,,77.0,
Dec-2025,Q3-2019 vs Q3-2025,Phase 5b,W+S-Orbital,Nov-2023,csat_net_satisfied_pct_by_phase,,77.0,
Dec-2025,Q3-2019 vs Q3-2025,Phase 6a,E-Spine,Jan-2025,csat_net_satisfied_pct_by_phase,,81.0,
Jul-2024,Q4-2019 vs Q4-2023,No NRD Phase,Non-BusConnects,,cost_per_km_eur,5.8,6.28,8.3
Mar-2025,Q2-2019 vs Q2-2024,No NRD Phase,Non-BusConnects,,cost_per_km_eur,6.11,6.01,-1.6
Dec-2025,Q3-2019 vs Q3-2025,No NRD Phase,Non-BusConnects,,cost_per_km_eur,6.42,6.56,2.2
Jul-2024,Q4-2019 vs Q4-2023,Programme Total,All Phases,,access_employment_30min_pct_change,18.0,12.0,66.7
Jul-2024,Q4-2019 vs Q4-2023,Programme Total,All Phases,,access_jobs_uni_pct_change_low,14.0,11.0,78.6
Jul-2024,Q4-2019 vs Q4-2023,Programme Total,All Phases,,access_jobs_uni_pct_change_high,20.0,17.0,85.0
Jul-2024,Q4-2019 vs Q4-2023,Programme Total,All Phases,,residents_400m_10min_freq_pct_change,35.0,23.0,65.7
Jul-2024,Q4-2019 vs Q4-2023,Programme Total,All Phases,,residents_400m_15min_freq_million,1.0,0.9,90.0
Jul-2024,Q4-2019 vs Q4-2023,Programme Total,All Phases,,residents_400m_15min_city_pct_change,16.0,9.0,56.2
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,access_employment_30min_pct_change,18.0,12.0,66.7
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,access_jobs_uni_pct_change_low,14.0,11.0,78.6
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,access_jobs_uni_pct_change_high,20.0,17.0,85.0
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,residents_400m_10min_freq_pct_change,35.0,23.0,65.7
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,residents_400m_15min_freq_million,1.0,0.9,90.0
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,residents_400m_15min_city_pct_change,16.0,9.0,56.2
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,access_employment_30min_pct_change,18.0,12.0,66.7
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,access_jobs_uni_pct_change_low,14.0,11.0,78.6
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,access_jobs_uni_pct_change_high,20.0,17.0,85.0
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,residents_400m_10min_freq_pct_change,35.0,23.0,65.7
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,residents_400m_15min_freq_million,1.0,0.9,90.0
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,residents_400m_15min_city_pct_change,16.0,9.0,56.2
Jul-2024,Q4-2019 vs Q4-2023,NRD Combined,Phases 1-5a,,pax_boardings_million,31.7,40.1,26.5
Mar-2025,Q2-2019 vs Q2-2024,NRD Combined,Phases 1-5b,,pax_boardings_million,38.0,56.1,47.6
Dec-2025,Q3-2019 vs Q3-2025,NRD Combined,Phases 1-6a,,pax_boardings_million,66.7,86.7,30.0
